batch_size,l2_lambda,eta,rmse_val
10, 0.0, 0.01, 5.404841952537451
10, 0.0, 10.0, 5.377022403557052
10, 0.0, 1.0, 5.379287158476927
10, 0.0, 0.1, 5.393016415582116
10, 0.0, 0.001, 5.851914443378608
10, 0.0, 0.0001, 8.260802546161417
10, 1.0, 10.0, 5.370561521896784
10, 1.0, 0.01, 5.41016829706463
10, 1.0, 1.0, 5.373968372573905
10, 1.0, 0.1, 5.395674495605789
10, 1.0, 0.0001, 8.265619019939638
10, 1.0, 0.001, 5.853906700157137
10, 0.1, 0.1, 5.3940885011183575
10, 0.1, 10.0, 5.350204066529881
10, 0.1, 0.01, 5.405554851416445
10, 0.1, 1.0, 5.363595529361205
10, 0.1, 0.0001, 8.263344479177404
10, 0.1, 0.001, 5.851485006208285
10, 0.01, 0.1, 5.389709517675597
10, 0.01, 1.0, 5.377097572848291
10, 0.01, 0.01, 5.404983389267575
10, 0.01, 10.0, 5.378584349969442
10, 0.01, 0.0001, 8.26605154853505
10, 0.01, 0.001, 5.851935281412534
10, 0.001, 10.0, 5.389045687070029
10, 0.001, 0.1, 5.39422437120484
10, 0.001, 1.0, 5.376380635542956
10, 0.001, 0.01, 5.404918479122721
10, 0.001, 0.001, 5.8516274931766175
10, 0.001, 0.0001, 8.266939394044694
10, 0.0001, 0.1, 5.38990247318995
10, 0.0001, 0.01, 5.4050046948705255
10, 0.0001, 10.0, 5.3589234261762
10, 0.0001, 1.0, 5.382596350557833
10, 0.0001, 0.001, 5.851806176160253
10, 0.0001, 0.0001, 8.265966563071665
50, 0.0, 10.0, 5.38920591540988
50, 0.0, 1.0, 5.393743623126291
50, 0.0, 0.01, 5.4058001313184025
50, 0.0, 0.1, 5.400449209952052
50, 0.0, 0.001, 5.974262339308919
50, 0.0, 0.0001, 8.92253132397222
50, 1.0, 1.0, 5.393397006773454
50, 1.0, 0.01, 5.406738385265261
50, 1.0, 0.1, 5.397231453668015
50, 1.0, 10.0, 5.388423979823822
50, 1.0, 0.0001, 8.921809258418085
50, 1.0, 0.001, 5.971405355856914
50, 0.1, 0.1, 5.400898548202887
50, 0.1, 0.01, 5.406382481221979
50, 0.1, 1.0, 5.398169608766928
50, 0.1, 10.0, 5.395136222411513
50, 0.1, 0.0001, 8.922279341234798
50, 0.1, 0.001, 5.970332282439005
50, 0.01, 10.0, 5.395794376090303
50, 0.01, 0.01, 5.405607499867897
50, 0.01, 0.1, 5.40031160304233
50, 0.01, 1.0, 5.395727779953165
50, 0.01, 0.0001, 8.921408912953082
50, 0.01, 0.001, 5.970413148827964
50, 0.001, 1.0, 5.397748597597786
50, 0.001, 0.1, 5.400794916293876
50, 0.001, 0.01, 5.4060644402554106
50, 0.001, 10.0, 5.394164459076673
50, 0.001, 0.001, 5.973961529142346
50, 0.001, 0.0001, 8.921871855334814
50, 0.0001, 1.0, 5.398984680997502
50, 0.0001, 0.01, 5.405888979806649
50, 0.0001, 0.1, 5.399200515185762
50, 0.0001, 10.0, 5.399027865596607
50, 0.0001, 0.0001, 8.921299363672679
50, 0.0001, 0.001, 5.972787008812926
100, 0.0, 10.0, 5.399561262118413
100, 0.0, 1.0, 5.401523308244692
100, 0.0, 0.01, 5.408106453210994
100, 0.0, 0.1, 5.4023825007310915
100, 0.0, 0.0001, 9.389748921456468
100, 0.0, 0.001, 6.114259200754341
100, 1.0, 0.1, 5.401726793876771
100, 1.0, 1.0, 5.4013115783275785
100, 1.0, 0.01, 5.408280416298302
100, 1.0, 10.0, 5.399553655291515
100, 1.0, 0.001, 6.111073749261095
100, 1.0, 0.0001, 9.387878573222652
100, 0.1, 0.01, 5.40715297479706
100, 0.1, 1.0, 5.398511770703366
100, 0.1, 10.0, 5.397761669532104
100, 0.1, 0.1, 5.400343166436279
100, 0.1, 0.0001, 9.387177900539562
100, 0.1, 0.001, 6.116015173030885
100, 0.01, 0.01, 5.407585171158153
100, 0.01, 0.1, 5.400380849077711
100, 0.01, 1.0, 5.399876923717346
100, 0.01, 10.0, 5.4014081700065
100, 0.01, 0.0001, 9.390162856172209
100, 0.01, 0.001, 6.112414142559506
100, 0.001, 0.01, 5.407935728568678
100, 0.001, 0.1, 5.400470755378431
100, 0.001, 1.0, 5.398331223954612
100, 0.001, 10.0, 5.3988344639899335
100, 0.001, 0.001, 6.112690145961544
100, 0.001, 0.0001, 9.390666882665608
100, 0.0001, 10.0, 5.401500103960599
100, 0.0001, 0.01, 5.407811741040075
100, 0.0001, 1.0, 5.401256855210793
100, 0.0001, 0.1, 5.402533463768552
100, 0.0001, 0.0001, 9.38687390895712
100, 0.0001, 0.001, 6.109260937045144
500, 0.0, 10.0, 5.40415829357846
500, 0.0, 0.1, 5.404016563779707
500, 0.0, 1.0, 5.404247413575967
500, 0.0, 0.01, 5.430873373797114
500, 0.0, 0.001, 6.892116135920564
500, 0.0, 0.0001, 10.841253063786532
500, 1.0, 1.0, 5.403978792080778
500, 1.0, 0.01, 5.433240668090603
500, 1.0, 0.1, 5.4025627305651245
500, 1.0, 10.0, 5.404043958928765
500, 1.0, 0.001, 6.895592718683987
500, 1.0, 0.0001, 10.842453007773283
500, 0.1, 1.0, 5.403254850573549
500, 0.1, 0.1, 5.403984489597033
500, 0.1, 10.0, 5.402337097385564
500, 0.1, 0.01, 5.434223108048438
500, 0.1, 0.0001, 10.842011805998995
500, 0.1, 0.001, 6.8936602267154905
500, 0.01, 0.1, 5.403193150232198
500, 0.01, 0.01, 5.436859022523465
500, 0.01, 10.0, 5.403213137970596
500, 0.01, 1.0, 5.403449642738188
500, 0.01, 0.0001, 10.841539872540361
500, 0.01, 0.001, 6.897632162870636
500, 0.001, 10.0, 5.40300444180024
500, 0.001, 0.1, 5.403445885203399
500, 0.001, 0.01, 5.438110795751016
500, 0.001, 1.0, 5.402096948062688
500, 0.001, 0.0001, 10.841475248098211
500, 0.001, 0.001, 6.893209421431531
500, 0.0001, 10.0, 5.401839476295954
500, 0.0001, 0.1, 5.402282455070295
500, 0.0001, 1.0, 5.40392597551412
500, 0.0001, 0.01, 5.436363833893225
500, 0.0001, 0.0001, 10.842710520367241
500, 0.0001, 0.001, 6.901241955380167
1000, 0.0, 0.01, 5.495738118019775
1000, 0.0, 1.0, 5.434497049469468
1000, 0.0, 0.1, 5.428795870776763
1000, 0.0, 10.0, 5.435233898217164
1000, 0.0, 0.0001, 11.57424886497547
1000, 0.0, 0.001, 7.380965813364212
1000, 1.0, 0.01, 5.498629693122341
1000, 1.0, 10.0, 5.429698833485835
1000, 1.0, 1.0, 5.4280659592778715
1000, 1.0, 0.1, 5.414534846921134
1000, 1.0, 0.0001, 11.573119031994167
1000, 1.0, 0.001, 7.379698455934626
1000, 0.1, 0.01, 5.498283207561307
1000, 0.1, 1.0, 5.426605737906255
1000, 0.1, 10.0, 5.428251511998582
1000, 0.1, 0.1, 5.4250867937531435
1000, 0.1, 0.0001, 11.573852295911905
1000, 0.1, 0.001, 7.383048334425114
1000, 0.01, 10.0, 5.438277434793388
1000, 0.01, 0.01, 5.489531558656039
1000, 0.01, 1.0, 5.428996998395652
1000, 0.01, 0.1, 5.415071900185212
1000, 0.01, 0.0001, 11.574313756158398
1000, 0.01, 0.001, 7.381129652717744
1000, 0.001, 0.01, 5.499562265497719
1000, 0.001, 10.0, 5.432777655203715
1000, 0.001, 1.0, 5.427746781088636
1000, 0.001, 0.1, 5.422484972074935
1000, 0.001, 0.001, 7.380966497035743
1000, 0.001, 0.0001, 11.57372912266816
1000, 0.0001, 0.1, 5.432628580437951
1000, 0.0001, 10.0, 5.4339529911762225
1000, 0.0001, 0.01, 5.49054395247646
1000, 0.0001, 1.0, 5.428149875727304
1000, 0.0001, 0.001, 7.376681406625891
1000, 0.0001, 0.0001, 11.57460644251087
