batch_size,l2_lambda,eta,rmse_val
10,0.0,0.001,5.3670413414531195
10,0.0,0.01,5.472961499254683
10,0.0,0.1,6.151767762578935
10,0.0,1.0,16.86124541484715
10,0.0,0.0001,5.4007455657195855
10,0.0,10.0,129.00602595542543
10,1.0,10.0,116.9889080639678
10,1.0,0.01,5.358999286300809
10,1.0,0.1,6.62361491820594
10,1.0,0.0001,5.396249348711929
10,1.0,1.0,12.81712545618151
10,1.0,0.001,5.372132252488234
10,0.1,10.0,98.47307674536582
10,0.1,0.01,5.527322827732082
10,0.1,1.0,15.199687839171453
10,0.1,0.001,5.3663827690881805
10,0.1,0.0001,5.392501708265195
10,0.1,0.1,6.666133875714703
10,0.01,10.0,68.95360794443815
10,0.01,0.001,5.363104608741375
10,0.01,0.01,5.488567485654015
10,0.01,0.1,6.477842183683394
10,0.01,0.0001,5.3985084668506325
10,0.01,1.0,12.018002617416382
10,0.001,10.0,73.17074675593268
10,0.001,0.1,6.313945029900851
10,0.001,0.001,5.358013520933452
10,0.001,0.0001,5.39739715265943
10,0.001,1.0,14.543751615182892
10,0.001,0.01,5.437458453215491
10,0.0001,0.0001,5.3998154995715835
10,0.0001,1.0,12.381159949748701
10,0.0001,10.0,99.61376652623431
10,0.0001,0.001,5.380923723989158
10,0.0001,0.1,6.6256017794017765
10,0.0001,0.01,5.478310302819812
50,0.0,0.0001,5.401331657150376
50,0.0,0.01,5.381160426651675
50,0.0,1.0,6.1898172637456605
50,0.0,0.1,5.585254916227008
50,0.0,10.0,9.625352076255409
50,0.0,0.001,5.389068853434817
50,1.0,10.0,8.26841005356892
50,1.0,1.0,5.875175887029768
50,1.0,0.1,5.497549051712912
50,1.0,0.001,5.3816876365214545
50,1.0,0.0001,5.397348025463006
50,1.0,0.01,5.369404813688395
50,0.1,0.1,5.674450151551861
50,0.1,0.0001,5.399640767946842
50,0.1,10.0,9.556277411530132
50,0.1,0.01,5.369509762213199
50,0.1,0.001,5.384452434652394
50,0.1,1.0,5.856913632260262
50,0.01,0.01,5.373609750640329
50,0.01,0.0001,5.40030066500835
50,0.01,1.0,6.05291964048684
50,0.01,0.1,5.405733046123898
50,0.01,0.001,5.384391822791986
50,0.01,10.0,8.732849698624282
50,0.001,0.1,5.654312927541996
50,0.001,0.001,5.379409387125164
50,0.001,0.01,5.3675821360637315
50,0.001,0.0001,5.401501857742513
50,0.001,1.0,6.084101294522201
50,0.001,10.0,8.031677770004727
50,0.0001,0.01,5.391163050090795
50,0.0001,0.001,5.379684915840547
50,0.0001,10.0,7.197586509146414
50,0.0001,0.0001,5.401761949826331
50,0.0001,1.0,5.725023112418264
50,0.0001,0.1,5.57662430741331
100,0.0,0.001,5.393673543706904
100,0.0,1.0,5.592968359129379
100,0.0,10.0,6.2530249716620405
100,0.0,0.0001,5.40182401633221
100,0.0,0.1,5.454327962673936
100,0.0,0.01,5.370970553871402
100,1.0,10.0,6.248036096935942
100,1.0,0.1,5.4826647151462
100,1.0,0.01,5.353505882870416
100,1.0,0.001,5.386909383849684
100,1.0,0.0001,5.400439520934164
100,1.0,1.0,5.597302384162232
100,0.1,0.01,5.3577891772897415
100,0.1,0.1,5.484015003602508
100,0.1,10.0,6.788530195684361
100,0.1,1.0,5.719481462166484
100,0.1,0.0001,5.401427887138524
100,0.1,0.001,5.395313882377655
100,0.01,1.0,5.478223251358316
100,0.01,0.1,5.441274484531207
100,0.01,0.0001,5.401416828702118
100,0.01,0.01,5.3679768530725775
100,0.01,10.0,6.839326637993517
100,0.01,0.001,5.394926640783834
100,0.001,0.0001,5.4014460924007865
100,0.001,0.1,5.411416414395719
100,0.001,1.0,5.597760805619573
100,0.001,0.001,5.3937244548777254
100,0.001,10.0,6.719919758052408
100,0.001,0.01,5.377301205082891
100,0.0001,10.0,6.28700664401092
100,0.0001,0.0001,5.4023967211849095
100,0.0001,1.0,5.611881625544217
100,0.0001,0.001,5.394392904269666
100,0.0001,0.01,5.361886314289846
100,0.0001,0.1,5.498963063331967
500,0.0,1.0,5.44937922475595
500,0.0,0.0001,5.4058973696014085
500,0.0,0.01,5.382531236270285
500,0.0,0.1,5.379067746801922
500,0.0,0.001,5.396873588309386
500,0.0,10.0,5.51948053694576
500,1.0,1.0,5.425883614949812
500,1.0,0.001,5.39795669219211
500,1.0,0.1,5.3729812677639766
500,1.0,0.01,5.379180019803409
500,1.0,10.0,5.5643572740454434
500,1.0,0.0001,5.404981857452791
500,0.1,10.0,5.508166079570403
500,0.1,0.001,5.399472372701936
500,0.1,0.01,5.386325629357948
500,0.1,0.0001,5.406732509274101
500,0.1,0.1,5.365192201498308
500,0.1,1.0,5.431986039086074
500,0.01,0.1,5.3612218408307575
500,0.01,1.0,5.4154140247427005
500,0.01,10.0,5.611037637918049
500,0.01,0.0001,5.405924793483629
500,0.01,0.001,5.399689602667
500,0.01,0.01,5.3784623286045
500,0.001,0.1,5.359472248511076
500,0.001,0.0001,5.405560593573549
500,0.001,10.0,5.4893397758917954
500,0.001,0.001,5.398728381579117
500,0.001,0.01,5.3898356735445105
500,0.001,1.0,5.4503231648851065
500,0.0001,0.0001,5.404854575359708
500,0.0001,1.0,5.416758970827619
500,0.0001,10.0,5.4461883700842995
500,0.0001,0.001,5.399571216986007
500,0.0001,0.01,5.380295257970056
500,0.0001,0.1,5.370510066520763
1000,0.0,0.001,5.399442304758595
1000,0.0,0.01,5.394610248577655
1000,0.0,1.0,5.400242691869289
1000,0.0,10.0,5.430664370230395
1000,0.0,0.1,5.379485260482699
1000,0.0,0.0001,5.425392339462601
1000,1.0,0.01,5.3851314414740585
1000,1.0,0.1,5.381965317998296
1000,1.0,0.0001,5.426612181727508
1000,1.0,1.0,5.414274564265961
1000,1.0,10.0,5.470763515943826
1000,1.0,0.001,5.401246100990664
1000,0.1,0.001,5.399742126347391
1000,0.1,0.1,5.392397922836551
1000,0.1,0.01,5.391013061772007
1000,0.1,1.0,5.400387764169083
1000,0.1,0.0001,5.4280243052333805
1000,0.1,10.0,5.404758796060264
1000,0.01,1.0,5.3749591982580815
1000,0.01,0.001,5.401090789456654
1000,0.01,10.0,5.413140996896335
1000,0.01,0.1,5.371946479611226
1000,0.01,0.0001,5.433494185322462
1000,0.01,0.01,5.392851076817364
1000,0.001,0.001,5.400417838136465
1000,0.001,0.01,5.3904501264872975
1000,0.001,0.1,5.38196549926311
1000,0.001,1.0,5.407600126057354
1000,0.001,0.0001,5.4328980049847235
1000,0.001,10.0,5.512481188350677
1000,0.0001,10.0,5.426722742368131
1000,0.0001,0.1,5.376452123010786
1000,0.0001,0.001,5.39955214992691
1000,0.0001,0.01,5.389131026477417
1000,0.0001,1.0,5.395924874962685
1000,0.0001,0.0001,5.425373592677683
